GasPrice.1	GasPrice.2	GasPrice.3	ElePrice.1	ElePrice.2	ElePrice.3	VehPrice.1	VehPrice.2	VehPrice.3	mpg.1	mpg.2	mpg.3	mpg_unknown.1	mpg_unknown.2	mpg_unknown.3	mpg_known.1	mpg_known.2	mpg_known.3	range.1	range.2	range.3	size.1	size.2	size.3
3.5	3.5	0	0	0	5	2.8	2.8	2.4	0.22	0.4	1.1	0	0	0	0.22	0.4	1.1	0	0	1.1	2	1	1
3.7	3.7	0	0	0	4.04	2.2	2.1	2	0.3	0.54	1.13	0	0	0	0.3	0.54	1.13	0	0	0.65	1	0	1
3.06	3.06	0	0	0	5.17	2.5	2.1	2.8	0.35	0.42	1.23	0	0	0	0.35	0.42	1.23	0	0	1.05	0	0	0
4.54	4.54	0	0	0	5.38	5	2.4	2	0.15	0.5	1.13	0.15	0.5	1.13	0	0	0	0	0	0.95	2	0	1
4	4	0	0	0	5	3	2.8	2.4	0.32	0.35	0.9	0	0	0	0.32	0.35	0.9	0	0	0.9	1	1	1
3.75	3.75	0	0	0	4	3.5	2	2.8	0.18	0.45	1.3	0	0	0	0.18	0.45	1.3	0	0	0.85	2	1	0
3.81	3.81	0	0	0	4.35	2.5	2.1	2.8	0.3	0.5	0.83	0	0	0	0.3	0.5	0.83	0	0	1.15	0	0	1
3	3	0	0	0	4.25	3.5	1.8	2.4	0.22	0.4	1.1	0	0	0	0.22	0.4	1.1	0	0	0.85	2	0	0
4.25	4.25	0	0	0	4.75	4.3	2.4	2	0.26	0.45	0.9	0.26	0.45	0.9	0	0	0	0	0	0.75	2	1	1
3.43	3.43	0	0	0	4.55	2.8	2.8	2	0.15	0.21	0.83	0.15	0.21	0.83	0	0	0	0	0	0.65	2	2	1
4.25	4.25	0	0	0	4	2.2	2.4	3.2	0.2	0.44	1	0	0	0	0.2	0.44	1	0	0	0.75	1	0	1
4.01	4.01	0	0	0	4.76	2.2	2.8	2.4	0.3	0.21	1.13	0.3	0.21	1.13	0	0	0	0	0	0.9	1	2	0
4.01	4.01	0	0	0	4.08	2.6	2.4	3.2	0.26	0.42	0.83	0	0	0	0.26	0.42	0.83	0	0	0.65	1	0	1
3.83	3.83	0	0	0	5.2	1.3	3.2	2.8	0.3	0.37	1.13	0	0	0	0.3	0.37	1.13	0	0	0.8	0	1	1
3.5	3.5	0	0	0	5	2.5	2	1.8	0.28	0.4	1.2	0	0	0	0.28	0.4	1.2	0	0	0.7	0	1	0
4.19	4.19	0	0	0	4.65	1.8	2.1	2.8	0.34	0.46	1.03	0	0	0	0.34	0.46	1.03	0	0	0.9	1	0	0
4	4	0	0	0	5.25	2.6	2.8	2	0.28	0.44	0.8	0	0	0	0.28	0.44	0.8	0	0	0.9	1	0	1
4	4	0	0	0	5.25	1.8	3.5	3.2	0.32	0.23	0.8	0	0	0	0.32	0.23	0.8	0	0	0.9	1	2	1
3.86	3.86	0	0	0	5.34	2.8	2.8	1.8	0.19	0.52	1.13	0.19	0.52	1.13	0	0	0	0	0	1.05	2	1	0
4	4	0	0	0	5.25	3.5	5	2	0.26	0.2	1	0.26	0.2	1	0	0	0	0	0	1.1	2	2	1
5.5	5.5	0	0	0	5.74	3.5	2.8	2.4	0.28	0.26	1.28	0.28	0.26	1.28	0	0	0	0	0	1.15	2	2	0
3.75	3.75	0	0	0	5.25	1.6	2.8	2.4	0.33	0.2	1.1	0	0	0	0.33	0.2	1.1	0	0	0.85	0	2	0
4	4	0	0	0	4	2.6	5	1.8	0.28	0.23	1	0	0	0	0.28	0.23	1	0	0	0.85	1	2	0
3.85	3.85	0	0	0	5.21	5	2.8	2.4	0.15	0.46	1.13	0	0	0	0.15	0.46	1.13	0	0	0.65	2	0	0
4.25	4.25	0	0	0	4.5	3	2	2.1	0.28	0.5	1	0.28	0.5	1	0	0	0	0	0	0.7	1	1	0
3.75	3.75	0	0	0	4.75	1.8	3.2	2.8	0.28	0.45	1.1	0.28	0.45	1.1	0	0	0	0	0	0.7	1	1	0
3.38	3.38	0	0	0	4.58	2.6	4.3	2.8	0.26	0.21	1.03	0.26	0.21	1.03	0	0	0	0	0	0.65	1	2	0
3.25	3.25	0	0	0	4	1.3	3.2	2.8	0.28	0.35	1.1	0	0	0	0.28	0.35	1.1	0	0	0.75	0	1	1
4.58	4.58	0	0	0	4.1	2.2	2.4	2	0.3	0.52	1.13	0	0	0	0.3	0.52	1.13	0	0	0.65	1	1	1
3.03	3.03	0	0	0	5.32	2.2	5	1.8	0.34	0.21	1.23	0.34	0.21	1.23	0	0	0	0	0	1.05	1	2	0
3.19	3.19	0	0	0	5.06	2.5	3.2	3.2	0.4	0.52	1.13	0.4	0.52	1.13	0	0	0	0	0	0.65	0	1	1
3	3	0	0	0	4.75	2.5	2.4	2.1	0.38	0.4	1.1	0	0	0	0.38	0.4	1.1	0	0	0.85	0	0	0
4	4	0	0	0	5	1.8	2.4	2.8	0.2	0.5	1	0	0	0	0.2	0.5	1	0	0	0.9	1	1	1
4.9	4.9	0	0	0	5.38	2.8	2.8	2	0.24	0.62	1.08	0	0	0	0.24	0.62	1.08	0	0	1.4	2	1	1
3.25	3.25	0	0	0	4.25	1.6	3.5	1.8	0.33	0.3	1.3	0	0	0	0.33	0.3	1.3	0	0	0.6	0	2	0
3.23	3.23	0	0	0	4.05	2.6	3.2	2	0.3	0.42	0.83	0.3	0.42	0.83	0	0	0	0	0	0.95	1	1	1
4.02	4.02	0	0	0	4.17	1.3	2.4	1.8	0.3	0.54	1.13	0	0	0	0.3	0.54	1.13	0	0	1.05	0	0	0
3.75	3.75	0	0	0	4	3.5	2.8	2.1	0.14	0.48	1	0	0	0	0.14	0.48	1	0	0	1	2	0	0
4	4	0	0	0	4	1.8	3.2	3.2	0.28	0.45	0.9	0	0	0	0.28	0.45	0.9	0	0	0.75	1	1	1
4.25	4.25	0	0	0	4.75	2.6	4.3	3.2	0.24	0.2	0.8	0	0	0	0.24	0.2	0.8	0	0	0.6	1	2	1
2.93	2.93	0	0	0	4.83	2.6	3.2	2.4	0.26	0.52	1.03	0.26	0.52	1.03	0	0	0	0	0	0.95	1	1	1
4	4	0	0	0	5.25	1.8	2	2.4	0.32	0.45	1	0	0	0	0.32	0.45	1	0	0	0.6	1	1	1
3	3	0	0	0	5.25	4.3	2.8	2.8	0.14	0.3	1.1	0	0	0	0.14	0.3	1.1	0	0	1	2	2	0
3.95	3.95	0	0	0	4.8	5	2.8	2.4	0.23	0.31	0.83	0	0	0	0.23	0.31	0.83	0	0	0.8	2	2	1
3.61	3.61	0	0	0	4.84	1.6	4.3	2.4	0.4	0.31	1.03	0	0	0	0.4	0.31	1.03	0	0	0.75	0	2	0
3.95	3.95	0	0	0	4.27	5	5	2.8	0.15	0.24	0.93	0.15	0.24	0.93	0	0	0	0	0	0.65	2	2	1
3.75	3.75	0	0	0	4.5	2.2	3.2	2.4	0.2	0.45	0.8	0	0	0	0.2	0.45	0.8	0	0	1.1	1	1	1
4.25	4.25	0	0	0	4.5	2.8	2	1.8	0.14	0.35	1	0	0	0	0.14	0.35	1	0	0	0.6	2	1	0
3.49	3.49	0	0	0	4.1	3	3.2	2.8	0.22	0.42	0.93	0.22	0.42	0.93	0	0	0	0	0	0.65	1	1	1
3.5	3.5	0	0	0	4.25	3.5	2.4	2.8	0.26	0.52	0.8	0	0	0	0.26	0.52	0.8	0	0	0.75	2	0	1
4	4	0	0	0	4.25	2.2	2.4	2.8	0.32	0.52	0.8	0.32	0.52	0.8	0	0	0	0	0	0.75	1	0	1
3.95	3.95	0	0	0	4.6	1.6	2	2.8	0.35	0.37	0.93	0	0	0	0.35	0.37	0.93	0	0	0.95	0	1	1
3.91	3.91	0	0	0	5.36	4.3	2.8	2.8	0.19	0.37	1.03	0	0	0	0.19	0.37	1.03	0	0	0.65	2	1	0
3.5	3.5	0	0	0	4.75	2.6	5	2.4	0.24	0.3	1	0.24	0.3	1	0	0	0	0	0	0.9	1	2	1
4.26	4.26	0	0	0	5.03	1.3	3.2	2.8	0.3	0.37	1.13	0.3	0.37	1.13	0	0	0	0	0	0.8	0	1	1
3.52	3.52	0	0	0	4.63	2.6	5	1.8	0.3	0.24	1.03	0.3	0.24	1.03	0	0	0	0	0	0.9	1	2	0
4.27	4.27	0	0	0	4.57	3	3.2	2.8	0.22	0.42	0.93	0	0	0	0.22	0.42	0.93	0	0	0.65	1	1	1
3.25	3.25	0	0	0	4.5	2.8	4.3	2	0.18	0.3	0.9	0	0	0	0.18	0.3	0.9	0	0	1.1	2	2	1
3.5	3.5	0	0	0	4	2	3.2	2	0.33	0.4	0.8	0	0	0	0.33	0.4	0.8	0	0	0.9	0	1	1
4.36	4.36	0	0	0	5.29	2.6	2.4	2	0.34	0.47	0.93	0.34	0.47	0.93	0	0	0	0	0	0.8	1	1	1
3	3	0	0	0	4.5	4.3	1.8	3.2	0.14	0.52	0.9	0.14	0.52	0.9	0	0	0	0	0	1.1	2	0	1
3.67	3.67	0	0	0	4.91	2.5	2.1	3.2	0.35	0.42	1.03	0.35	0.42	1.03	0	0	0	0	0	1.15	0	0	1
4.41	4.41	0	0	0	5.37	2.6	2	2.8	0.34	0.42	1.13	0	0	0	0.34	0.42	1.13	0	0	1.15	1	1	1
3.71	3.71	0	0	0	5.29	4.3	2.8	2.8	0.23	0.47	1.03	0	0	0	0.23	0.47	1.03	0	0	0.65	2	1	1
4.1	4.1	0	0	0	4.03	4.3	2.8	3.2	0.19	0.37	0.83	0.19	0.37	0.83	0	0	0	0	0	0.65	2	1	1
3.75	3.75	0	0	0	4.5	3.5	2.8	1.8	0.26	0.4	1.2	0.26	0.4	1.2	0	0	0	0	0	1	2	0	0
4.69	4.69	0	0	0	4.78	1.8	3.5	2.4	0.22	0.31	1.23	0	0	0	0.22	0.31	1.23	0	0	0.9	1	2	0
3.25	3.25	0	0	0	4.25	2.6	2.4	1.8	0.32	0.45	1.1	0.32	0.45	1.1	0	0	0	0	0	0.7	1	1	0
3.22	3.22	0	0	0	4.52	2.6	2.4	2	0.34	0.47	0.93	0	0	0	0.34	0.47	0.93	0	0	0.8	1	1	1
3.68	3.68	0	0	0	5.38	1.6	2.8	2.1	0.26	0.5	1.03	0	0	0	0.26	0.5	1.03	0	0	1.05	0	0	0
4	4	0	0	0	4.25	4.3	2.4	2	0.26	0.45	0.9	0	0	0	0.26	0.45	0.9	0	0	0.75	2	1	1
3.66	3.66	0	0	0	4.61	2.6	2.4	2.4	0.3	0.5	1.23	0	0	0	0.3	0.5	1.23	0	0	0.65	1	0	0
3.25	3.25	0	0	0	4	1.3	2.4	3.2	0.38	0.4	0.8	0.38	0.4	0.8	0	0	0	0	0	0.9	0	1	1
4.16	4.16	0	0	0	4.46	2.6	1.8	2.8	0.34	0.46	1.13	0	0	0	0.34	0.46	1.13	0	0	1.15	1	0	1
3.75	3.75	0	0	0	4.5	3.5	4.3	3.2	0.14	0.23	1	0.14	0.23	1	0	0	0	0	0	0.75	2	2	1
3.25	3.25	0	0	0	4.25	2.2	4.3	2.8	0.2	0.23	1.2	0	0	0	0.2	0.23	1.2	0	0	0.7	1	2	0
4.22	4.22	0	0	0	4.5	2.2	2.8	3.2	0.22	0.42	1.03	0.22	0.42	1.03	0	0	0	0	0	0.8	1	1	1
6.32	6.32	0	0	0	5.26	1.8	2.8	2	0.34	0.27	1.01	0.34	0.27	1.01	0	0	0	0	0	0.95	1	2	1
3.37	3.37	0	0	0	4.21	2	2.1	2.1	0.26	0.42	1.33	0.26	0.42	1.33	0	0	0	0	0	0.75	0	0	0
3.99	3.99	0	0	0	5.14	1.8	3.5	2.8	0.22	0.31	1.03	0	0	0	0.22	0.31	1.03	0	0	0.95	1	2	1
4.75	4.75	0	0	0	4.46	1.6	2.8	2.8	0.35	0.21	0.93	0.35	0.21	0.93	0	0	0	0	0	0.95	0	2	1
4	4	0	0	0	4.5	1.6	2	2.4	0.33	0.35	1.1	0	0	0	0.33	0.35	1.1	0	0	0.85	0	1	0
3.25	3.25	0	0	0	5.25	5	2.4	2.8	0.22	0.35	1.2	0	0	0	0.22	0.35	1.2	0	0	1	2	1	0
4	4	0	0	0	5	2.8	2.8	2.4	0.22	0.4	1.1	0.22	0.4	1.1	0	0	0	0	0	1.1	2	1	1
3.75	3.75	0	0	0	4.25	3	4.3	2.4	0.32	0.2	0.9	0.32	0.2	0.9	0	0	0	0	0	0.9	1	2	1
4	4	0	0	0	4.75	3.5	2.4	3.2	0.14	0.44	1	0	0	0	0.14	0.44	1	0	0	0.75	2	0	1
4.5	4.5	0	0	0	5.46	2.2	2.8	2.4	0.22	0.5	0.83	0.22	0.5	0.83	0	0	0	0	0	1.15	1	0	1
3.25	3.25	0	0	0	4.5	2.8	3.5	2.4	0.14	0.3	1.2	0.14	0.3	1.2	0	0	0	0	0	0.85	2	2	0
4	4	0	0	0	4.5	2.6	4.3	3.2	0.24	0.2	0.8	0	0	0	0.24	0.2	0.8	0	0	0.6	1	2	1
4.16	4.16	0	0	0	4.36	2.6	1.8	2.4	0.34	0.46	1.33	0.34	0.46	1.33	0	0	0	0	0	1.05	1	0	0
4.22	4.22	0	0	0	4.34	3.5	1.8	2.8	0.23	0.42	0.93	0	0	0	0.23	0.42	0.93	0	0	0.95	2	0	1
6.23	6.23	0	0	0	5.04	2	2	2.8	0.4	0.66	1.34	0	0	0	0.4	0.66	1.34	0	0	1.4	0	1	0
3.52	3.52	0	0	0	4.47	2	2.8	2.8	0.4	0.24	1.13	0.4	0.24	1.13	0	0	0	0	0	1.15	0	2	1
3.25	3.25	0	0	0	4.25	2.5	2.8	3.2	0.38	0.52	1.1	0	0	0	0.38	0.52	1.1	0	0	0.6	0	0	1
4.21	4.21	0	0	0	4.92	2	2.8	3.2	0.26	0.31	0.93	0	0	0	0.26	0.31	0.93	0	0	1.15	0	2	1
3.45	3.45	0	0	0	4.82	5	3.2	2.8	0.15	0.42	0.93	0.15	0.42	0.93	0	0	0	0	0	0.65	2	1	1
4.65	4.65	0	0	0	5.4	1.3	2.4	2.4	0.47	0.58	1.31	0.47	0.58	1.31	0	0	0	0	0	1.45	0	0	1
3.25	3.25	0	0	0	4	1.8	2.8	3.2	0.28	0.48	0.9	0.28	0.48	0.9	0	0	0	0	0	0.75	1	0	1
4.33	4.33	0	0	0	4.93	1.3	2.4	2.8	0.4	0.42	1.03	0.4	0.42	1.03	0	0	0	0	0	0.9	0	1	0
4.42	4.42	0	0	0	4.83	3	2.8	2.4	0.34	0.37	0.93	0.34	0.37	0.93	0	0	0	0	0	0.95	1	1	1
6.89	6.89	0	0	0	5.63	2	1.8	2.4	0.54	0.6	1.54	0.54	0.6	1.54	0	0	0	0	0	1.4	0	0	0
3.5	3.5	0	0	0	4.25	1.3	2.4	2.8	0.24	0.5	1	0.24	0.5	1	0	0	0	0	0	0.9	0	1	1
4	4	0	0	0	4.5	1.8	3.5	3.2	0.32	0.23	0.8	0.32	0.23	0.8	0	0	0	0	0	0.9	1	2	1
3.75	3.75	0	0	0	4	2	2.4	2	0.38	0.45	0.9	0	0	0	0.38	0.45	0.9	0	0	0.75	0	1	1
3.91	3.91	0	0	0	5.03	2.5	5	3.2	0.4	0.31	1.13	0.4	0.31	1.13	0	0	0	0	0	0.65	0	2	1
4.01	4.01	0	0	0	4.11	1.6	2.8	2	0.4	0.42	1.03	0.4	0.42	1.03	0	0	0	0	0	1.15	0	0	1
3.64	3.64	0	0	0	4.14	1.6	2.4	2	0.35	0.52	1.13	0.35	0.52	1.13	0	0	0	0	0	0.65	0	1	1
4	4	0	0	0	4.25	1.8	1.8	2	0.2	0.4	0.8	0.2	0.4	0.8	0	0	0	0	0	0.6	1	0	1
3.27	3.27	0	0	0	4.13	3	3.2	2.4	0.22	0.42	1.13	0	0	0	0.22	0.42	1.13	0	0	0.65	1	1	0
3.5	3.5	0	0	0	4.25	2.8	2.8	1.8	0.18	0.5	1.1	0.18	0.5	1.1	0	0	0	0	0	1	2	1	0
4	4	0	0	0	5	2.6	2.8	2.4	0.24	0.52	1	0	0	0	0.24	0.52	1	0	0	0.9	1	0	1
3.35	3.35	0	0	0	5.29	2.5	5	3.2	0.4	0.31	1.13	0	0	0	0.4	0.31	1.13	0	0	0.65	0	2	1
3.33	3.33	0	0	0	4.38	3	2.1	2.8	0.3	0.42	1.23	0.3	0.42	1.23	0	0	0	0	0	1.05	1	0	0
3.96	3.96	0	0	0	4.31	2.6	2.8	2.4	0.34	0.24	1.33	0	0	0	0.34	0.24	1.33	0	0	1.05	1	2	0
3.75	3.75	0	0	0	5	1.3	2.4	2	0.28	0.52	0.9	0.28	0.52	0.9	0	0	0	0	0	1.1	0	0	1
5.03	5.03	0	0	0	5.53	2.8	1.8	2	0.2	0.52	0.98	0.2	0.52	0.98	0	0	0	0	0	0.9	2	0	1
4.33	4.33	0	0	0	5.12	2.6	3.2	2.1	0.26	0.52	1.23	0	0	0	0.26	0.52	1.23	0	0	0.9	1	1	0
3.43	3.43	0	0	0	3.94	3	4.3	2.4	0.34	0.21	0.93	0.34	0.21	0.93	0	0	0	0	0	0.95	1	2	1
3.07	3.07	0	0	0	4.39	3	2.8	2.4	0.3	0.31	0.83	0	0	0	0.3	0.31	0.83	0	0	0.8	1	2	1
4.25	4.25	0	0	0	4	3.5	2.4	2.8	0.14	0.44	1.2	0	0	0	0.14	0.44	1.2	0	0	0.7	2	0	0
3.4	3.4	0	0	0	5.39	2.2	2.8	2.4	0.34	0.52	1.03	0	0	0	0.34	0.52	1.03	0	0	0.75	1	1	0
3.5	3.5	0	0	0	4	2.6	2.1	2	0.32	0.48	0.9	0.32	0.48	0.9	0	0	0	0	0	0.75	1	0	1
3.75	3.75	0	0	0	5.25	3.5	2	2.8	0.18	0.45	1.3	0	0	0	0.18	0.45	1.3	0	0	0.85	2	1	0
4.15	4.15	0	0	0	5.14	2.2	2.1	2	0.3	0.54	1.13	0	0	0	0.3	0.54	1.13	0	0	0.65	1	0	1
4.61	4.61	0	0	0	5.08	2.5	5	2.8	0.26	0.24	0.93	0	0	0	0.26	0.24	0.93	0	0	0.65	0	2	1
4.23	4.23	0	0	0	4.08	3	5	2.4	0.22	0.24	1.13	0.22	0.24	1.13	0	0	0	0	0	0.65	1	2	0
3.75	3.75	0	0	0	5.25	1.6	4.3	2.4	0.38	0.3	1	0	0	0	0.38	0.3	1	0	0	0.7	0	2	0
3.75	3.75	0	0	0	4.75	2	2.1	2	0.38	0.48	0.9	0	0	0	0.38	0.48	0.9	0	0	0.75	0	0	1
3.25	3.25	0	0	0	4.25	2.6	3.5	1.8	0.32	0.27	1.1	0.32	0.27	1.1	0	0	0	0	0	0.7	1	2	0
4.03	4.03	0	0	0	4.32	2	2.8	2.1	0.3	0.54	1.23	0	0	0	0.3	0.54	1.23	0	0	0.9	0	0	0
4	4	0	0	0	4.5	3.5	2.8	2.4	0.26	0.5	1	0	0	0	0.26	0.5	1	0	0	0.7	2	1	0
4.25	4.25	0	0	0	4	4.3	2.8	3.2	0.18	0.35	0.8	0	0	0	0.18	0.35	0.8	0	0	0.6	2	1	1
2.95	2.95	0	0	0	4.16	1.6	2.8	3.2	0.3	0.28	1.13	0	0	0	0.3	0.28	1.13	0	0	0.95	0	2	1
3.51	3.51	0	0	0	4.73	4.3	2	2.8	0.15	0.52	1.13	0	0	0	0.15	0.52	1.13	0	0	1.05	2	1	0
